iter	Passed	Remaining
419	946	1307
420	949	1305
421	951	1302
422	953	1300
423	955	1297
424	957	1294
425	959	1292
426	961	1290
427	964	1288
428	966	1285
429	968	1283
430	970	1280
431	972	1278
432	974	1275
433	976	1273
434	978	1270
435	980	1268
436	982	1265
437	984	1263
438	986	1260
439	988	1258
440	990	1256
441	992	1253
442	995	1251
443	996	1248
444	998	1245
445	1000	1243
446	1002	1240
447	1004	1238
448	1007	1236
449	1009	1233
450	1011	1231
451	1013	1228
452	1015	1226
453	1017	1223
454	1019	1221
455	1021	1218
456	1023	1216
457	1025	1213
458	1027	1211
459	1029	1208
460	1031	1206
461	1033	1203
462	1035	1201
463	1037	1199
464	1040	1196
465	1042	1194
466	1044	1191
467	1045	1188
468	1048	1187
469	1050	1185
470	1053	1183
471	1055	1180
472	1057	1178
473	1059	1175
474	1061	1173
475	1063	1170
476	1065	1168
477	1067	1165
478	1068	1162
479	1070	1160
480	1072	1157
481	1074	1155
482	1076	1152
483	1078	1150
484	1081	1148
485	1083	1145
486	1085	1143
487	1087	1140
488	1089	1138
489	1091	1136
490	1093	1133
491	1095	1131
492	1097	1128
493	1099	1126
494	1101	1123
495	1103	1121
496	1105	1119
497	1107	1116
498	1109	1114
499	1112	1112
500	1114	1109
501	1116	1107
502	1118	1105
503	1120	1103
504	1122	1100
505	1125	1098
506	1127	1096
507	1129	1093
508	1131	1091
509	1133	1089
510	1135	1086
511	1137	1084
512	1140	1082
513	1142	1079
514	1144	1077
515	1146	1075
516	1148	1073
517	1150	1070
518	1152	1068
519	1154	1065
520	1156	1063
521	1158	1061
522	1161	1058
523	1163	1056
524	1165	1054
525	1167	1051
526	1169	1049
527	1171	1047
528	1173	1044
529	1175	1042
530	1177	1039
531	1179	1037
532	1181	1035
533	1183	1032
534	1185	1030
535	1187	1028
536	1189	1025
537	1191	1023
538	1193	1021
539	1195	1018
540	1197	1016
541	1200	1014
542	1202	1011
543	1204	1009
544	1206	1006
545	1208	1004
546	1210	1002
547	1212	999
548	1214	997
549	1216	995
550	1218	992
551	1220	990
552	1222	987
553	1224	985
554	1226	983
555	1228	981
556	1230	978
557	1232	976
558	1234	974
559	1236	971
560	1238	969
561	1240	967
562	1242	964
563	1244	961
564	1246	959
565	1248	957
566	1250	955
567	1252	952
568	1254	950
569	1256	948
570	1258	945
571	1260	943
572	1262	941
573	1264	938
574	1266	936
575	1269	934
576	1271	931
577	1273	929
578	1275	927
579	1277	925
580	1279	922
581	1281	920
582	1283	918
583	1285	915
584	1287	913
585	1289	911
586	1291	908
587	1293	906
588	1295	904
589	1297	901
590	1299	899
591	1301	897
592	1303	894
593	1306	892
594	1307	890
595	1310	888
596	1312	885
597	1314	883
598	1316	881
599	1318	879
600	1320	876
601	1322	874
602	1324	872
603	1326	870
604	1328	867
605	1331	865
606	1333	863
607	1335	860
608	1337	858
609	1339	856
610	1341	853
611	1343	851
612	1345	849
613	1347	847
614	1349	844
615	1351	842
616	1353	840
617	1355	838
618	1357	835
619	1359	833
620	1361	831
621	1364	828
622	1365	826
623	1367	824
624	1370	822
625	1371	819
626	1374	817
627	1376	815
628	1378	812
629	1380	810
630	1382	808
631	1384	806
632	1386	804
633	1388	801
634	1390	799
635	1392	797
636	1394	794
637	1396	792
638	1399	790
639	1401	788
640	1403	785
641	1405	783
642	1407	781
643	1409	779
644	1411	776
645	1413	774
646	1415	772
647	1417	770
648	1419	767
649	1421	765
650	1423	763
651	1425	761
652	1427	758
653	1430	756
654	1432	754
655	1434	752
656	1436	749
657	1438	747
658	1440	745
659	1442	743
660	1444	740
661	1446	738
662	1448	736
663	1450	734
664	1452	731
665	1454	729
666	1456	727
667	1458	724
668	1460	722
669	1462	720
670	1464	718
671	1466	715
672	1468	713
673	1471	711
674	1472	709
675	1474	706
676	1477	704
677	1479	702
678	1481	700
679	1483	698
680	1485	695
681	1487	693
682	1489	691
683	1491	689
684	1493	686
685	1495	684
686	1497	682
687	1499	680
688	1501	677
689	1503	675
690	1505	673
691	1508	671
692	1510	669
693	1512	666
694	1514	664
695	1516	662
696	1518	660
697	1519	657
698	1522	655
699	1524	653
700	1526	651
701	1528	648
702	1530	646
703	1532	644
704	1534	642
705	1536	639
706	1538	637
707	1540	635
708	1542	633
709	1544	630
710	1546	628
711	1548	626
712	1550	624
713	1552	622
714	1554	619
715	1556	617
716	1558	615
717	1560	613
718	1562	610
719	1564	608
720	1566	606
721	1568	604
722	1571	601
723	1573	599
724	1575	597
725	1577	595
726	1579	593
727	1581	590
728	1583	588
729	1585	586
730	1587	584
731	1589	581
732	1591	579
733	1593	577
734	1595	575
735	1597	573
736	1599	570
737	1601	568
738	1603	566
739	1605	564
740	1607	562
741	1609	559
742	1611	557
743	1613	555
744	1616	553
745	1618	550
746	1620	548
747	1622	546
748	1624	544
749	1626	542
750	1628	539
751	1630	537
752	1632	535
753	1634	533
754	1636	531
755	1638	528
756	1640	526
757	1642	524
758	1644	522
759	1646	520
760	1648	517
761	1650	515
762	1652	513
763	1654	511
764	1656	508
765	1659	506
766	1661	504
767	1662	502
768	1665	500
769	1667	497
770	1669	495
771	1671	493
772	1673	491
773	1675	489
774	1677	486
775	1679	484
776	1681	482
777	1683	480
778	1685	478
779	1687	475
780	1689	473
781	1691	471
782	1693	469
783	1696	467
784	1698	465
785	1700	462
786	1702	460
787	1704	458
788	1706	456
789	1708	454
790	1710	451
791	1712	449
792	1714	447
793	1717	445
794	1719	443
795	1721	441
796	1723	438
797	1725	436
798	1727	434
799	1730	432
800	1732	430
801	1734	428
802	1736	426
803	1738	423
804	1740	421
805	1743	419
806	1745	417
807	1747	415
808	1749	412
809	1751	410
810	1753	408
811	1755	406
812	1757	404
813	1759	402
814	1761	399
815	1763	397
816	1765	395
817	1767	393
818	1769	391
819	1771	388
820	1773	386
821	1775	384
822	1777	382
823	1779	380
824	1781	377
825	1783	375
826	1785	373
827	1787	371
828	1790	369
829	1792	367
830	1794	364
831	1796	362
832	1798	360
833	1800	358
834	1802	356
835	1804	353
836	1806	351
837	1808	349
838	1811	347
839	1812	345
840	1815	343
841	1817	341
842	1819	338
843	1822	336
844	1824	334
845	1826	332
846	1828	330
847	1830	328
848	1832	325
849	1834	323
850	1836	321
851	1839	319
852	1841	317
853	1843	315
854	1845	312
855	1847	310
856	1849	308
857	1851	306
858	1853	304
859	1855	302
860	1857	299
861	1859	297
862	1861	295
863	1863	293
864	1865	291
865	1867	288
866	1869	286
867	1871	284
868	1873	282
869	1875	280
870	1877	278
871	1879	275
872	1881	273
873	1883	271
874	1886	269
875	1888	267
876	1890	265
877	1892	262
878	1894	260
879	1896	258
880	1898	256
881	1900	254
882	1903	252
883	1905	249
884	1907	247
885	1909	245
886	1911	243
887	1913	241
888	1915	239
889	1917	236
890	1919	234
891	1921	232
892	1923	230
893	1925	228
894	1927	226
895	1929	223
896	1931	221
897	1933	219
898	1935	217
899	1937	215
900	1939	213
901	1942	210
902	1944	208
903	1946	206
904	1948	204
905	1950	202
906	1952	200
907	1954	198
908	1956	195
909	1958	193
910	1961	191
911	1963	189
912	1965	187
913	1967	185
914	1969	182
915	1971	180
916	1973	178
917	1975	176
918	1978	174
919	1980	172
920	1982	170
921	1985	167
922	1987	165
923	1989	163
924	1991	161
925	1993	159
926	1996	157
927	1998	155
928	2001	152
929	2003	150
930	2005	148
931	2007	146
932	2009	144
933	2012	142
934	2015	140
935	2017	137
936	2019	135
937	2021	133
938	2023	131
939	2025	129
940	2028	127
941	2031	125
942	2033	122
943	2035	120
944	2037	118
945	2039	116
946	2042	114
947	2044	112
948	2047	110
949	2049	107
950	2051	105
951	2053	103
952	2055	101
953	2057	99
954	2060	97
955	2063	94
956	2065	92
957	2067	90
958	2069	88
959	2071	86
960	2074	84
961	2076	82
962	2078	79
963	2080	77
964	2083	75
965	2085	73
966	2087	71
967	2090	69
968	2093	66
969	2095	64
970	2097	62
971	2099	60
972	2101	58
973	2104	56
974	2106	54
975	2109	51
976	2111	49
977	2113	47
978	2115	45
979	2117	43
980	2120	41
981	2122	38
982	2124	36
983	2126	34
984	2128	32
985	2131	30
986	2133	28
987	2136	25
988	2138	23
989	2140	21
990	2142	19
991	2144	17
992	2146	15
993	2150	12
994	2153	10
995	2155	8
996	2157	6
997	2160	4
998	2162	2
999	2164	0
