iter	Logloss
0	0.6854364304
1	0.6769138258
2	0.6703667673
3	0.6636261194
4	0.6560698529
5	0.6488843645
6	0.6422765823
7	0.6348460191
8	0.6273173637
9	0.6209311972
10	0.6145868626
11	0.6077877226
12	0.6018894741
13	0.5957453721
14	0.5898098589
15	0.5830374997
16	0.5776267538
17	0.571168653
18	0.5651847165
19	0.5599555191
20	0.5547829453
21	0.549376092
22	0.5440046868
23	0.5391714394
24	0.5346355827
25	0.5305530782
26	0.5262381106
27	0.5223601465
28	0.5185431656
29	0.5148990657
30	0.5102486124
31	0.5074551122
32	0.5040108817
33	0.4994537457
34	0.495186423
35	0.4917572956
36	0.4874063609
37	0.4835126708
38	0.4803406592
39	0.4764164516
40	0.4738612272
41	0.4708109226
42	0.4673502916
43	0.4638991583
44	0.4611282868
45	0.4575685255
46	0.4539261383
47	0.4507658563
48	0.4491289619
49	0.4462128724
50	0.4438150626
51	0.4408042544
52	0.4385369748
53	0.4354699582
54	0.4329907943
55	0.4303813337
56	0.4283836001
57	0.4257981696
58	0.4232425819
59	0.4210065984
60	0.4190561204
61	0.4170424014
62	0.415075341
63	0.4126360887
64	0.4112166061
65	0.4086832319
66	0.4065052993
67	0.4046115486
68	0.402540687
69	0.4008735086
70	0.3990334491
71	0.3975608462
72	0.3957227331
73	0.3939564504
74	0.3921322206
75	0.3903929782
76	0.3886117481
77	0.3871971701
78	0.3854727194
79	0.3843445291
80	0.3826879125
81	0.3813035926
82	0.3797460024
83	0.3782060584
84	0.3767046247
85	0.3749424422
86	0.374066515
87	0.3731268798
88	0.3721887498
89	0.3708839157
90	0.3698206272
91	0.3686050882
92	0.3674744587
93	0.3662704675
94	0.3649291214
95	0.3638715679
96	0.3622433409
97	0.360905005
98	0.3600166477
99	0.3588237114
100	0.3575576471
101	0.3566384867
102	0.3554401527
103	0.3546262469
104	0.3534800471
105	0.3526759504
106	0.3520146584
107	0.3506566781
108	0.3493298381
109	0.3485366406
110	0.3477005472
111	0.3467487154
112	0.345884907
113	0.3449005854
114	0.3441327153
115	0.343519094
116	0.3427774598
117	0.3421618403
118	0.3411623377
119	0.3401590983
120	0.3394823658
121	0.3388257708
122	0.3378628322
123	0.3371043303
124	0.3361967956
125	0.3357725598
126	0.3351997064
127	0.3346410479
128	0.3341138412
129	0.3335935113
130	0.3330952651
131	0.3325544085
132	0.3321943218
133	0.3316268921
134	0.3309461114
135	0.3301686657
136	0.3293692401
137	0.3285368576
138	0.3280525986
139	0.3273683405
140	0.3263947364
141	0.3257028748
142	0.3249583342
143	0.3243882575
144	0.3236594687
145	0.3229641558
146	0.3224236884
147	0.3218360953
148	0.3211718708
149	0.3206902329
150	0.3203357515
151	0.3195468617
152	0.3191808065
153	0.3186569214
154	0.3180424178
155	0.3172680083
156	0.3166808044
157	0.3160088208
158	0.3153069684
159	0.314927445
160	0.3143006409
161	0.3138033808
162	0.3133465514
163	0.3127059937
164	0.3123457513
165	0.3121844441
166	0.3119202698
167	0.3113038718
168	0.310744305
169	0.3103024749
170	0.3099205899
171	0.3092194123
172	0.3088231508
173	0.3083963719
174	0.307897425
175	0.3071162425
176	0.3070288937
177	0.3066978714
178	0.3061230718
179	0.3056828505
180	0.3051207147
181	0.3046955446
182	0.3043330705
183	0.3039350964
184	0.3031395374
185	0.3027572372
186	0.3024502449
187	0.3020414495
188	0.3016336662
189	0.3012731124
190	0.3007103278
191	0.3001206846
192	0.2995275121
193	0.2990977229
194	0.2986605638
195	0.2982120125
196	0.2980143229
197	0.2974479831
